sku,rating,good points,bad points
DABAF00007,8,"Lange mouwen, grote capouchon",De jas zelf mag naar verhouding nog iets groter (voor een XL) ik gebruik zo'n jack toch als een jas over een jas en dan is hij nu net iets te smal (voor een winterjas)
DABAF00007,7,Ziet er goed uit en praktisch voor het gebruik in de regen. Tot vandaag nog niet gedragen en later zal ik er ervaring mee opdoen.,Dat heb ik nog niet opgemerkt.
EABCD80005,9,Draag comfort,Geen sprekende kleur
C12AD90038,9,Duimgaten met lange manchetten en een windblocker aan de voorzijde.,N.v.t.
D12ABA0001,8,Lichtgewicht; klein op te vouwen; voldoet aan ademend maar wind dichte belofte ook bij inspanning op de fiets; van niks te veel.,"-Het is niet bedoeld als regenjas maar volstaat voor een korte fietstocht door de regen alleen de eerste 20cm van de mouwen  laten veel water door, waarom? -Prijs"
ACBGD80071,9,Goede kwaliteit. Echt waterdicht. Licht gewicht.,"Met korte mouwen onder jas, voelt binnenvoering een beetje “plakkerig” aan."
ACBGD80070,9,Stijlvol en functioneel,Geen
D12AE90051,8,Vaudé kies ik vanwege duurzaamheidsaspecten. De jas draagt erg prettig (ook door de manchetten),Het model had van mij net wat langer mogen zijn. Daarnaast: geen binnenzak. Wel 4 afsluitbare (rits) zakken aan de voorkant. Vooral bij de bovenste twee was een schuine inzet praktischer geweest.
D12AE90051,8,"Lekker licht, mooie kleur, hoge sluiting kraag, boorden goed afgesloten.",Nvt
B12AE90183,3,De jas is warm en zit lekker,Binnen twee weken dragen zijn  twee van de drie ritsen op de jas kapot gegaan. Bijzonder slecht
B12AE90183,9,"Erg warm, en sluit mooi aan.",Krapjes om de armen. En mis een beetje stof aan de boven en onderkant van de rits om contact tussen de huid en de rits te voorkomen.
B12AE90183,9,"warm, grote zakken.",muts waait makkelijk af en is niet verstelbaar om hem strakker om het hoofd te krijgen.
B12AE90183,7,Dun en toch warm. Regendichtheid niet getest nog.,Ja de ristsluiting. Bij beide ritsen liepen de runners van de rits af.
B12AE90183,10,Fijne jas.,Geen.
B12AE90183,9,Nog niet perfect kunnen uittesten vanwege nog vrij hoge temperaturen. Maar het voelt heel goed!,"Het 'over je hoofd' aantrekken is even wennen, maar lukt prima."
B12AE90183,10,"Warm en waterdicht, precies goed!",Nee
DABDF00002,10,Mooie afwerking. Stevige rits.,Weinig reflecterende delen.
EABDE10003,8,Licht,Krap
DABAF00011,9,De kwaliteit,De magneetjes van de flap
C12AD90031,8,fijne jas bij wind en regen,nog niet ontdekt
ACBGD80064,8,Fijn regenpak goede kwaliteit.,Regenbroek kan je lastig uit- en aantrekken met je schoenen aan.
ACBGD80064,8,"Solide regenpak. Ikzelf ben 1,85 m  104 kg en heb voor maat XXL gekozen. Kan er een winterjas onder dragen, dus ruim genoeg.",Broek had iets groter gemogen maar is niet echt storend
ACBGD80064,8,Waterdicht !!!,???
ACBGD80064,8,Gewoon een perfect pak,Misschien handig een tasje erbij
ACBGD80064,8,kleur stof,bij de mouwen wat strak ben benieuwd met een winterjas eronder
DABBF10002,9,Kwaliteit en pasvorm,Geen minpunt
